Time,Spinz_On_BIS,Spinz_away_BIS
0j,(1+0j),(1+0j)
(0.02+0j),(0.9994095688639343-1.775746166147297e-27j),(0.9992128879576817-1.067619132345524e-21j)
(0.04+0j),(0.9976762601093287-1.3675618624483182e-26j),(0.9969037159346723-1.699662039894008e-20j)
(0.06+0j),(0.9948562978620473+8.141003188513067e-26j),(0.9931518152198229-2.4542149331708095e-20j)
(0.08+0j),(0.9910047359368712-2.17282652671943e-25j),(0.988037481523012+1.9433361455785128e-19j)
(0.1+0j),(0.986175278672905+3.9114860930758333e-25j),(0.9816414296400198+0j)
(0.12+0j),(0.9804201340149795-3.024877461633739e-25j),(0.9740443152989007-1.7027608835774638e-19j)
(0.14+0j),(0.9737898959136171-7.305801817281344e-25j),(0.9653263210681002+3.576728430819695e-20j)
(0.16+0j),(0.9663334531685049+0j),(0.955566802569281+2.3364594427726905e-20j)
(0.18+0j),(0.9580979219343294-4.391912192782845e-26j),(0.944843990794858+1.0527492795626123e-18j)
(0.2+0j),(0.9491285992331757-8.611185324750732e-25j),(0.9332347460544855+1.2101385573849288e-18j)
(0.22+0j),(0.9394689349656817+1.6880030154731188e-25j),(0.9208143589396325-2.369320549806582e-18j)
(0.24+0j),(0.9291605200763223+0j),(0.907656393675738+2.662461555644814e-18j)
(0.26+0j),(0.9182430887002863-2.1068123626559162e-24j),(0.893832569304073-5.714952356027539e-18j)
(0.28+0j),(0.9067545322952699-7.620331722894186e-24j),(0.8794126742795256+1.6445726255665407e-19j)
(0.3+0j),(0.8947309239369847-4.353956901733438e-24j),(0.8644645102677608-6.7573308097516856e-18j)
(0.32+0j),(0.8822065511290422-5.1778653849270075e-24j),(0.8490538611598206+2.5181853442860044e-18j)
(0.34+0j),(0.8692139556436302+1.6703068995115446e-23j),(0.8332444835810218-9.237291924344626e-18j)
(0.36+0j),(0.855783979067245-1.752404676324242e-24j),(0.8170981154429463+3.0119471704764453e-18j)
(0.38+0j),(0.8419458128744157+1.2011109504837527e-23j),(0.8006744993636825+1.4731715710461172e-17j)
(0.4+0j),(0.8277270519910759+1.2320256571545582e-23j),(0.7840314180552519+9.223476475123473e-18j)
(0.42+0j),(0.8131537509375715+1.0966023142822238e-23j),(0.7672247390431851+5.075943280379877e-18j)
(0.44+0j),(0.798250481759132+1.1810237191213866e-23j),(0.7503084663375849+7.725962560361898e-18j)
(0.46+0j),(0.7830403930590817-1.0511938049305621e-23j),(0.7333347969151888-4.320437128108003e-18j)
(0.48+0j),(0.7675452695474426+1.2350540302224194e-23j),(0.7163541800962674+8.457566408998922e-18j)
(0.5+0j),(0.7517855916052752+1.2092539593511771e-23j),(0.6994153781079296-3.104920372333576e-18j)
(0.52+0j),(0.7357805944436698-4.341445527713287e-23j),(0.6825655263164063-2.432268234413624e-17j)
(0.54+0j),(0.7195483265062849-2.898451478261781e-23j),(0.665850191785606-2.183745778570039e-17j)
(0.56+0j),(0.7031057068263676+1.5137322277305086e-23j),(0.6493134289784391-5.8348362092907155e-18j)
(0.58+0j),(0.6864685811038851+2.9647475553737026e-23j),(0.6329978315622835+1.5248416612876592e-17j)
(0.6+0j),(0.669651776316387-2.540572993348823e-23j),(0.6169445794118052+0j)
(0.62+0j),(0.6526691537191008-1.0664011473150865e-22j),(0.6011934800226589-1.4659133976917318e-17j)
