phi,Spinx,Spiny
(-3.141592653589793+0j),(-0.000563782184457415+1.0331974406209318e-14j),(0.9999998410748115+5.824984026227476e-18j)
(-3.0133643820146996+0j),(-0.1529037217631392-7.924481897637398e-15j),(0.9882410899527407-1.2261003792620343e-15j)
(-2.885136110439606+0j),(-0.29494663132356064+2.4201584518208146e-15j),(0.9555137281436011+7.470511010036643e-16j)
(-2.7569078388645125+0j),(-0.41974361490106876-5.606005818860676e-15j),(0.9076427148111659-2.5925235879346678e-15j)
(-2.628679567289419+0j),(-0.5265269329443029-6.223362559678912e-15j),(0.8501584492812299-3.854302693713744e-15j)
(-2.500451295714325+0j),(-0.6179456298385111-1.8230099217570418e-15j),(0.786220833203678-1.4328302771012598e-15j)
(-2.3722230241392315+0j),(-0.6979849346165884+2.4371296838456664e-15j),(0.7161124430201424+2.375436734288552e-15j)
(-2.243994752564138+0j),(-0.7695967802389697+2.1520312004473884e-15j),(0.6385301839739536+2.5937634968649716e-15j)
(-2.1157664809890444+0j),(-0.8348828620159956+1.152987237229212e-15j),(0.5504276580187264+1.7488388718524218e-15j)
(-1.9875382094139509+0j),(-0.8940850621638701-1.2061375508413154e-15j),(0.44789719982985887-2.4076720451295065e-15j)
(-1.8593099378388573+0j),(-0.9446480788379423-2.6661687239489812e-15j),(0.3280853656409936-7.676633665191193e-15j)
(-1.7310816662637636+0j),(-0.98106294088594-2.468735799017676e-17j),(0.19368919954460703-1.2504492810900928e-16j)
(-1.60285339468867+0j),(-0.9965659646868226+1.0601602234813398e-15j),(0.0828026450533001+1.2759490897376488e-14j)
(-1.4746251231135765+0j),(-0.9941014635374967+8.415370571330663e-16j),(-0.10845404645566291-7.713619246645799e-15j)
(-1.3463968515384828+0j),(-0.9654008872362536+1.4569189757646486e-15j),(-0.2607702569762408-5.393678282729442e-15j)
(-1.2181685799633892+0j),(-0.9207036056709715-1.9539528597431307e-15j),(-0.3902625661070665+4.609746359283297e-15j)
(-1.0899403083882957+0j),(-0.8651154401969908+3.1181108555765046e-15j),(-0.5015728014284335-5.378134216454274e-15j)
(-0.9617120368132022+0j),(-0.8026921301515205+6.591553452541782e-20j),(-0.5963936151509459-8.871637702712164e-20j)
(-0.8334837652381086+0j),(-0.7343064292294667+1.7134221222260043e-15j),(-0.678818140588678-1.853481521933766e-15j)
(-0.7052554936630151+0j),(-0.6589521554547517+2.0976650902279172e-16j),(-0.7521848554853634-1.8376612112669296e-16j)
(-0.5770272220879216+0j),(-0.5736768829017425+1.3769393243680083e-14j),(-0.8190817016782516-9.6439495343355e-15j)
(-0.4487989505128276+0j),(-0.4751589088113504-7.605217714925034e-15j),(-0.8799000007825928+4.106929136813817e-15j)
(-0.32057067893773405+0j),(-0.3597370097843929+1.0337260089249056e-14j),(-0.9330537411057218-3.985510019458403e-15j)
(-0.19234240736264052+0j),(-0.22601588555273203+7.922774845378232e-16j),(-0.9741236161174895-1.8382399760002317e-16j)
(-0.06411413578754699+0j),(-0.07736540001741264+1.3809146755924753e-14j),(-0.9970028058536974-1.07156184155017e-15j)
(0.06411413578754654+0j),(0.07716931248305332-3.3649774325328586e-15j),(-0.9970180024507547-2.6044965522312767e-16j)
(0.19234240736264008+0j),(0.2258541949520215+6.274017922681669e-15j),(-0.9741611173838619+1.4545984660599605e-15j)
(0.3205706789377336+0j),(0.35966329044184125-1.6334015903287052e-14j),(-0.933082160106251-6.296064973781753e-15j)
(0.4487989505128276+0j),(0.47527437858467786+2.0981705009565798e-16j),(-0.8798376356242941+1.1333985278991453e-16j)
(0.5770272220879211+0j),(0.5739848009573021-1.7314006135396942e-15j),(-0.818865952564891-1.213626764462623e-15j)
(0.7052554936630147+0j),(0.6590991989018152+4.34497664554999e-15j),(-0.7520560125462634+3.807921987928961e-15j)
(0.8334837652381082+0j),(0.7345819234968394+1.2445709620601381e-15j),(-0.6785200053584886+1.3474021753498925e-15j)
(0.9617120368132017+0j),(0.8029244642094725+9.551055962444386e-16j),(-0.5960807871202792+1.2865330768886052e-15j)
(1.0899403083882957+0j),(0.8653893983830885-3.919673975518792e-15j),(-0.5010999792118898-6.769196655858835e-15j)
(1.2181685799633888+0j),(0.9206731826548422-4.533441308973952e-15j),(-0.39033433200296846-1.0692930383280353e-14j)
(1.3463968515384828+0j),(0.9652738384690167+1.8953748121534418e-15j),(-0.261240151522102+7.003348105584206e-15j)
(1.4746251231135759+0j),(0.9924831757698391-1.4899370851149826e-15j),(-0.12238114974870351-1.2083049497153795e-14j)
(1.6028533946886698+0j),(0.9999852938263306-1.0974118555156226e-17j),(-0.005423295222197964-2.0234851171194915e-15j)
(1.731081666263763+0j),(0.9825288534889607+1.0896009011327542e-15j),(0.1861103222867239-5.752310301742308e-15j)
(1.859309937838857+0j),(0.9447507570314405+8.216753349525877e-15j),(0.3277895774555987-2.3682217133205577e-14j)
(1.98753820941395+0j),(0.8939511843340257+1.0074478527579446e-14j),(0.44816434488677587-2.0095512090665435e-14j)
(2.115766480989044+0j),(0.8346744707875323-2.1438592681341422e-15j),(0.5507436135040996+3.2491064012301816e-15j)
(2.243994752564138+0j),(0.7691886002735415+2.8871329832566425e-15j),(0.6390218284293815-3.4752330505720217e-15j)
(2.372223024139231+0j),(0.6975285074087513-7.664468833999495e-15j),(0.7165570328676703+7.460935083513255e-15j)
(2.500451295714325+0j),(0.617785701261368-1.5338792125311682e-15j),(0.7863465058846512+1.205077707947248e-15j)
(2.628679567289418+0j),(0.5263542725689206+2.4724576606220653e-15j),(0.8502653584313796-1.5305676522151411e-15j)
(2.756907838864512+0j),(0.41972746702892144+7.366769447444891e-15j),(0.9076501822957376-3.4066378662992662e-15j)
(2.885136110439605+0j),(0.29510663950938565-8.265810600821394e-15j),(0.9554643223676527+2.5529949492879564e-15j)
(3.013364382014699+0j),(0.15313532284156212+1.0164623378957243e-14j),(0.9882052281273412-1.575141315179246e-15j)
(3.141592653589793+0j),(-0.0005637821844571193+1.0331974718533424e-14j),(0.9999998410748115+5.824984202307214e-18j)
