phi,Spinx,Spiny
(-3.137592618310081+0j),(0.4952856769721915-8.473558100999377e-15j),(0.8687301641972599+4.830996013928799e-15j)
(-3.1296395176281395+0j),(0.4859034728835093+3.598338772910731e-14j),(0.874012479910753-2.000480938838821e-14j)
(-3.121747045326901+0j),(0.4765862115376175+2.1078104386042315e-14j),(0.8791277398491196-1.1426705654245887e-14j)
(-3.1139128592482637+0j),(0.46733741904368103+5.5084385353276636e-14j),(0.8840790330969232-2.9118431177391806e-14j)
(-3.106134677694396+0j),(0.4581605040718082+1.8012873095735406e-14j),(0.8888694800186734-9.284588123275728e-15j)
(-3.0984102762381207+0j),(0.44905875239298776-1.4935492758094568e-15j),(0.8935022310544352+7.506320086531311e-16j)
(-3.0907374847559517+0j),(0.4400353220090601-4.2782238423199215e-14j),(0.8979804649235876+2.096448285478326e-14j)
(-3.0831141846651864+0j),(0.43109323888429824+2.592713007985116e-14j),(0.9023073863092584-1.2387142841438205e-14j)
(-3.0755383063482418+0j),(0.4222353932580797+1.9333136522824815e-14j),(0.9064862231055666-9.005249384442574e-15j)
(-3.068007826749044+0j),(0.4134645365451096+2.905760919850488e-14j),(0.9105202232897069-1.319497427191802e-14j)
(-3.060520767127678+0j),(0.40478327880890513-1.849777654601232e-15j),(0.9144126514854836+8.188415403926855e-16j)
(-3.0530751909607887+0j),(0.39619408678886775+2.225409130488101e-14j),(0.9181667852811576-9.602764468498522e-15j)
(-3.045669201976349+0j),(0.38769928247039037-7.0372510217611e-14j),(0.9217859113546619+2.9598382206679856e-14j)
(-3.038300942312412+0j),(0.3793010421779958-7.398855474843882e-15j),(0.9252733214584145+3.0330428074044342e-15j)
(-3.0309685907903785+0j),(0.3710013961622261-6.29035262195135e-15j),(0.9286323083145874+2.5130825023008853e-15j)
(-3.0236703612941094+0j),(0.36280222866519973+3.453412219412723e-17j),(0.9318661614607348-1.3445124434377563e-17j)
(-3.0164045012469334+0j),(0.35470527843898764+2.2717171797361426e-14j),(0.9349781630859195-8.618276945778171e-15j)
(-3.009169290179266+0j),(0.34671213967872416-8.184272426984133e-14j),(0.9379715838976151+3.025237281797006e-14j)
(-3.001963038380111+0j),(0.33882426336059507+4.903164515322901e-16j),(0.940849679044506-1.7657561479186144e-16j)
(-2.994784085626267+0j),(0.33104295893989183-1.1029751131653614e-14j),(0.9436156841301023+3.869500594788547e-15j)
(-2.9876307999835086+0j),(0.3233693963927175-2.507259103504382e-14j),(0.9462728113375177+8.568045633207687e-15j)
(-2.980501576674455+0j),(0.3158046085650817+3.076863328842344e-14j),(0.9488242456899252-1.0240965316677388e-14j)
