phi,Spinx,Spiny
(-3.1395906479604054+0j),(-0.9152535899131259+0j),(-0.4028782274473714+0j)
(-3.135586549645275+0j),(-0.9127088303979487+0j),(-0.4086105614317976+0j)
(-3.1315821901691105+0j),(-0.9101357800185438+0j),(-0.41431010358189047+0j)
(-3.1275773954513197+0j),(-0.9075351569345925+0j),(-0.4199761170920375+0j)
(-3.123571991451456+0j),(-0.9049076888466288+0j),(-0.425607888397587+0j)
(-3.1195658041852714+0j),(-0.9022541121318062+0j),(-0.4312047276425041+0j)
(-3.1155586597407665+0j),(-0.8995751709723646+0j),(-0.43676596910707355+0j)
(-3.1115503842942354+0j),(-0.8968716164788223+0j),(-0.44229097159524355+0j)
(-3.1075408041263053+0j),(-0.8941442058099088+0j),(-0.4477791187813111+0j)
(-3.1035297456379665+0j),(-0.8913937012912302+0j),(-0.45322981951579605+0j)
(-3.099517035366595+0j),(-0.8886208695346423+0j),(-0.45864250809044804+0j)
(-3.0955025000019654+0j),(-0.8858264805602686+0j),(-0.4640166444624678+0j)
(-3.0914859664022525+0j),(-0.8830113069230672+0j),(-0.46935171443813517+0j)
(-3.0874672616100227+0j),(-0.8801761228457948+0j),(-0.47464722981614926+0j)
(-3.083446212868207+0j),(-0.8773217033601709+0j),(-0.47990272849110616+0j)
(-3.0794226476360653+0j),(-0.8744488234579901+0j),(-0.48511777451762883+0j)
(-3.0753963936051307+0j),(-0.8715582572538536+0j),(-0.49029195813578863+0j)
(-3.071367278715139+0j),(-0.868650777161135+0j),(-0.495424895758536+0j)
(-3.067335131169938+0j),(-0.8657271530827146+0j),(-0.500516229921966+0j)
(-3.0632997794533785+0j),(-0.8627881516179375+0j),(-0.5055656291993184+0j)
(-3.059261052345182+0j),(-0.8598345352871747+0j),(-0.5105727880797102+0j)
(-3.055218778936791+0j),(-0.8568670617752749+0j),(-0.515537426812649+0j)
(-3.051172788647187+0j),(-0.8538864831951122+0j),(-0.5204592912194803+0j)
(-3.04712291123869+0j),(-0.8508935453723386+0j),(-0.5253381524729496+0j)
(-3.0430689768327306+0j),(-0.8478889871523693+0j),(-0.5301738068461413+0j)
(-3.0390108159255877+0j),(-0.8448735397305188+0j),(-0.5349660754321002+0j)
(-3.034948259404104+0j),(-0.8418479260061338+0j),(-0.5397148038354806+0j)
(-3.030881138561363+0j),(-0.8388128599614523+0j),(-0.5444198618376163+0j)
(-3.026809285112339+0j),(-0.8357690460658462+0j),(-0.5490811430364237+0j)
(-3.0227325312095035+0j),(-0.8327171787059889+0j),(-0.5536985644625946+0j)
(-3.0186507094584027+0j),(-0.8296579416424241+0j),(-0.5582720661735245+0j)
(-3.0145636529331914+0j),(-0.8265920074928899+0j),(-0.5628016108264745+0j)
(-3.0104711951921255+0j),(-0.8235200372426951+0j),(-0.5672871832324349+0j)
(-3.006373170293014+0j),(-0.8204426797823318+0j),(-0.5717287898921888+0j)
(-3.0022694128086234+0j),(-0.8173605714724415+0j),(-0.5761264585160484+0j)
(-2.9981597578420334+0j),(-0.814274335736158+0j),(-0.5804802375287541+0j)
(-2.9940440410419455+0j),(-0.8111845826787838+0j),(-0.5847901955609786+0j)
(-2.989922098617937+0j),(-0.8080919087346695+0j),(-0.5890564209288944+0j)
(-2.9857937673556587+0j),(-0.8049968963411008+0j),(-0.5932790211032203+0j)
(-2.981658884631975+0j),(-0.8019001136389264+0j),(-0.5974581221691416+0j)
(-2.977517288430045+0j),(-0.7988021141996001+0j),(-0.6015938682784665+0j)
(-2.9733688173543347+0j),(-0.7957034367782403+0j),(-0.6056864210953531+0j)
(-2.969213310645567+0j),(-0.7926046050922604+0j),(-0.6097359592368996+0j)
(-2.9650506081955954+0j),(-0.789506127625072+0j),(-0.6137426777098555+0j)
(-2.9608805505622073+0j),(-0.7864084974543055+0j),(-0.6177067873446603+0j)
(-2.956702978983846+0j),(-0.7833121921039551+0j),(-0.6216285142279887+0j)
(-2.952517735394252+0j),(-0.7802176734198122+0j),(-0.6255080991349158+0j)
(-2.948324662437018+0j),(-0.777125387467515+0j),(-0.6293457969617852+0j)
(-2.944123603480049+0j),(-0.7740357644525029+0j),(-0.6331418761608092+0j)
(-2.93991440262993+0j),(-0.7709492186611472+0j),(-0.636896618177367+0j)
(-2.935696904746196+0j),(-0.7678661484222937+0j),(-0.6406103168909412+0j)
(-2.931470955455485+0j),(-0.764786936088434+0j),(-0.6442832780605638+0j)
(-2.9272364011655925+0j),(-0.7617119480357072+0j),(-0.647915818775594+0j)
(-2.9229930890794007+0j),(-0.7586415346819189+0j),(-0.6515082669126028+0j)
(-2.9187408672086854+0j),(-0.7555760305217428+0j),(-0.6550609605990932+0j)
(-2.9144795843877955+0j),(-0.7525157541782825+0j),(-0.6585742476847167+0j)
(-2.910209090287193+0j),(-0.7494610084701433+0j),(-0.6620484852206188+0j)
(-2.9059292354268527+0j),(-0.746412080493179+0j),(-0.665484038947475+0j)
(-2.901639871189507+0j),(-0.7433692417160676+0j),(-0.6688812827927529+0j)
(-2.8973408498337356+0j),(-0.7403327480888834+0j),(-0.6722405983776658+0j)
(-2.8930320245068835+0j),(-0.7373028401638234+0j),(-0.6755623745342538+0j)
(-2.888713249257808+0j),(-0.7342797432272737+0j),(-0.6788470068329749+0j)
(-2.884384379049436+0j),(-0.7312636674423898+0j),(-0.6820948971211455+0j)
(-2.880045269771131+0j),(-0.728254808001392+0j),(-0.6853064530725329+0j)
(-2.8756957782508525+0j),(-0.7252533452867848+0j),(-0.6884820877483508+0j)
(-2.8713357622671003+0j),(-0.7222594450407182+0j),(-0.691622219169883+0j)
(-2.8669650805606355+0j),(-0.7192732585417386+0j),(-0.694727269902909+0j)
(-2.862583592845959+0j),(-0.716294922788176+0j),(-0.6977976666540818+0j)
